Group	pH	Salinity	Moisture Content	Organic Carbon Level	Total Carbon Level	Microbial Abundance
1	6.8	0.5	36.2	24.5	29.7	0.57
2	6.5	0.4	34.7	22.8	27.1	0.51
3	6.9	0.6	38.9	25.2	31	0.59
4	7	0.5	40.3	27.6	33.8	0.62
5	6.7	0.3	35.4	23.9	28.4	0.54
6	6.6	0.4	37.2	23.8	29	0.55
7	6.9	0.5	39.1	25.7	31.8	0.6
8	6.7	0.6	36.5	24.2	30.1	0.53
9	7.1	0.4	41	26.9	33.5	0.63
10	6.8	0.3	35.8	22.5	28.1	0.5
11	6.3	0.6	22.5	18.4	22.7	0.4
12	6.7	0.8	24.1	20.3	25.1	0.45
13	5.9	0.5	20.7	15.8	19.5	0.33
14	7	0.7	26.4	22.5	28.2	0.48
15	6.5	0.6	21.9	19.2	23.6	0.38
16	6.8	0.8	23.7	20.8	26.3	0.44
17	6.2	0.7	19.8	17.3	21.4	0.31
18	7.1	0.9	27.3	23.1	29.3	0.5
19	6.4	0.6	22.2	18.7	23.1	0.39
20	6.9	0.8	25.6	21.7	27.4	0.47
21	6.7	0.5	29.8	21.5	27	0.5
22	6.4	0.4	27.1	19.7	24.8	0.45
23	6.9	0.6	31.3	22.8	28.7	0.54
24	6.8	0.5	30	21.9	27.6	0.52
25	7	0.4	28.4	20.4	26	0.47
26	6.6	0.5	32	23.5	29.5	0.56
27	6.5	0.3	26.5	18.9	23.7	0.42
28	6.8	0.4	29.2	21	26.8	0.49
29	7.1	0.6	33.4	24.2	30.2	0.58
30	6.7	0.5	30.7	22.2	28.1	0.53
31	6.5	0.3	35.7	22.4	27.1	0.42
32	6.2	0.4	38.3	20.9	25.4	0.37
33	6.8	0.5	40.5	24.2	29.5	0.45
34	6.4	0.3	33.2	21.7	26.6	0.4
35	6.7	0.6	36.8	23.5	28.4	0.43
36	6.3	0.5	34.1	22	27.3	0.41
37	6.9	0.4	39.2	25.1	30	0.46
38	6.6	0.3	37.4	23.8	28.9	0.44
39	6.4	0.5	32.7	21.1	26	0.39
40	7	0.6	41.1	26.2	31.4	0.48

